role,location,averageMarketSalary
DevOps Engineer,Bengaluru,85000
DevOps Engineer,Hyderabad,83000
DevOps Engineer,Pune,81000
DevOps Engineer,Chennai,80000
DevOps Engineer,Gurgaon (Gurugram),84000
DevOps Engineer,Noida,82000
DevOps Engineer,Mumbai,86000
DevOps Engineer,Kolkata,79000
DevOps Engineer,Ahmedabad,80000
DevOps Engineer,Coimbatore,78000
DevOps Engineer,Trivandrum (Thiruvananthapuram),81000
DevOps Engineer,Jaipur,77000
DevOps Engineer,Chandigarh,78000
DevOps Engineer,Indore,79000
DevOps Engineer,Kochi (Cochin),76000
DevOps Engineer,Bhubaneswar,75000
DevOps Engineer,Mysore,74000
DevOps Engineer,Visakhapatnam,73000
DevOps Engineer,Nagpur,72000
DevOps Engineer,Lucknow,71000
