role,location,averageMarketSalary
Systems Engineer,Bengaluru,76000
Systems Engineer,Hyderabad,74000
Systems Engineer,Pune,72000
Systems Engineer,Chennai,71000
Systems Engineer,Gurgaon (Gurugram),75000
Systems Engineer,Noida,73000
Systems Engineer,Mumbai,77000
Systems Engineer,Kolkata,70000
Systems Engineer,Ahmedabad,71000
Systems Engineer,Coimbatore,69000
Systems Engineer,Trivandrum (Thiruvananthapuram),72000
Systems Engineer,Jaipur,68000
Systems Engineer,Chandigarh,69000
Systems Engineer,Indore,70000
Systems Engineer,Kochi (Cochin),67000
Systems Engineer,Bhubaneswar,66000
Systems Engineer,Mysore,65000
Systems Engineer,Visakhapatnam,64000
Systems Engineer,Nagpur,63000
Systems Engineer,Lucknow,62000
