role,location,averageMarketSalary
Software Architect,Bengaluru,95000
Software Architect,Hyderabad,93000
Software Architect,Pune,91000
Software Architect,Chennai,90000
Software Architect,Gurgaon (Gurugram),94000
Software Architect,Noida,92000
Software Architect,Mumbai,96000
Software Architect,Kolkata,89000
Software Architect,Ahmedabad,90000
Software Architect,Coimbatore,88000
Software Architect,Trivandrum (Thiruvananthapuram),91000
Software Architect,Jaipur,87000
Software Architect,Chandigarh,88000
Software Architect,Indore,89000
Software Architect,Kochi (Cochin),86000
Software Architect,Bhubaneswar,85000
Software Architect,Mysore,84000
Software Architect,Visakhapatnam,83000
Software Architect,Nagpur,82000
Software Architect,Lucknow,81000
