role,location,averageMarketSalary
UI/UX Designer,Bengaluru,72000
UI/UX Designer,Hyderabad,70000
UI/UX Designer,Pune,68000
UI/UX Designer,Chennai,67000
UI/UX Designer,Gurgaon (Gurugram),71000
UI/UX Designer,Noida,69000
UI/UX Designer,Mumbai,73000
UI/UX Designer,Kolkata,66000
UI/UX Designer,Ahmedabad,67000
UI/UX Designer,Coimbatore,65000
UI/UX Designer,Trivandrum (Thiruvananthapuram),68000
UI/UX Designer,Jaipur,64000
UI/UX Designer,Chandigarh,65000
UI/UX Designer,Indore,66000
UI/UX Designer,Kochi (Cochin),63000
UI/UX Designer,Bhubaneswar,62000
UI/UX Designer,Mysore,61000
UI/UX Designer,Visakhapatnam,60000
UI/UX Designer,Nagpur,59000
UI/UX Designer,Lucknow,58000
